key	freq	prob	cfreq	cprob	count	cfrac
6298	910	0.001033	559058	0.6346	258	0.01175
24965	902	0.001024	559960	0.6357	259	0.01179
9422	882	0.001001	560842	0.6367	260	0.01184
10584	879	0.0009978	561721	0.6377	261	0.01188
13223	874	0.0009921	562595	0.6386	262	0.01193
334	872	0.0009899	563467	0.6396	263	0.01198
28388	866	0.0009831	564333	0.6406	264	0.01202
18591	866	0.0009831	565199	0.6416	265	0.01207
28887	865	0.0009819	566064	0.6426	266	0.01211
20023	865	0.0009819	566929	0.6436	267	0.01216
27344	861	0.0009774	567790	0.6445	268	0.0122
23995	856	0.0009717	568646	0.6455	269	0.01225
23144	852	0.0009672	569498	0.6465	270	0.01229
19782	851	0.000966	570349	0.6474	271	0.01234
13058	849	0.0009638	571198	0.6484	272	0.01239
29618	845	0.0009592	572043	0.6494	273	0.01243
18925	843	0.000957	572886	0.6503	274	0.01248
2005	840	0.0009535	573726	0.6513	275	0.01252
92	836	0.000949	574562	0.6522	276	0.01257
15896	830	0.0009422	575392	0.6532	277	0.01261
15488	830	0.0009422	576222	0.6541	278	0.01266
23991	822	0.0009331	577044	0.655	279	0.0127
275	812	0.0009218	577856	0.656	280	0.01275
13369	800	0.0009081	578656	0.6569	281	0.0128
26749	793	0.0009002	579449	0.6578	282	0.01284
22922	792	0.0008991	580241	0.6587	283	0.01289
27307	791	0.0008979	581032	0.6596	284	0.01293
4844	790	0.0008968	581822	0.6605	285	0.01298
7202	787	0.0008934	582609	0.6614	286	0.01302
15081	784	0.00089	583393	0.6623	287	0.01307
7671	774	0.0008786	584167	0.6631	288	0.01311
23150	772	0.0008764	584939	0.664	289	0.01316
18325	771	0.0008752	585710	0.6649	290	0.01321
1587	766	0.0008695	586476	0.6658	291	0.01325
670	762	0.000865	587238	0.6666	292	0.0133
14373	759	0.0008616	587997	0.6675	293	0.01334
8489	752	0.0008537	588749	0.6683	294	0.01339
7385	747	0.000848	589496	0.6692	295	0.01343
27512	746	0.0008468	590242	0.67	296	0.01348
22108	744	0.0008446	590986	0.6709	297	0.01352
29568	731	0.0008298	591717	0.6717	298	0.01357
1830	730	0.0008287	592447	0.6725	299	0.01362
13803	726	0.0008241	593173	0.6734	300	0.01366
3210	725	0.000823	593898	0.6742	301	0.01371
13264	724	0.0008219	594622	0.675	302	0.01375
8358	722	0.0008196	595344	0.6758	303	0.0138
28255	715	0.0008116	596059	0.6766	304	0.01384
26573	712	0.0008082	596771	0.6774	305	0.01389
3188	711	0.0008071	597482	0.6782	306	0.01393
5951	707	0.0008026	598189	0.679	307	0.01398
16581	707	0.0008026	598896	0.6799	308	0.01402
27928	699	0.0007935	599595	0.6806	309	0.01407
18733	699	0.0007935	600294	0.6814	310	0.01412
16994	695	0.0007889	600989	0.6822	311	0.01416
22216	689	0.0007821	601678	0.683	312	0.01421
6720	688	0.000781	602366	0.6838	313	0.01425
4232	685	0.0007776	603051	0.6846	314	0.0143
23059	685	0.0007776	603736	0.6853	315	0.01434
8544	683	0.0007753	604419	0.6861	316	0.01439
412	677	0.0007685	605096	0.6869	317	0.01443
3635	674	0.0007651	605770	0.6877	318	0.01448
9338	669	0.0007594	606439	0.6884	319	0.01453
12858	666	0.000756	607105	0.6892	320	0.01457
2331	664	0.0007538	607769	0.6899	321	0.01462
25208	663	0.0007526	608432	0.6907	322	0.01466
5717	661	0.0007503	609093	0.6914	323	0.01471
11016	657	0.0007458	609750	0.6922	324	0.01475
21513	656	0.0007447	610406	0.6929	325	0.0148
28525	651	0.000739	611057	0.6937	326	0.01484
25113	651	0.000739	611708	0.6944	327	0.01489
26852	650	0.0007379	612358	0.6951	328	0.01494
468	647	0.0007345	613005	0.6959	329	0.01498
12281	646	0.0007333	613651	0.6966	330	0.01503
10711	646	0.0007333	614297	0.6973	331	0.01507
6057	642	0.0007288	614939	0.6981	332	0.01512
12391	639	0.0007254	615578	0.6988	333	0.01516
