key	freq	prob	cfreq	cprob	count	cfrac
21761	198	0.0002248	117401	0.1333	406	0.01431
14048	198	0.0002248	117599	0.1335	407	0.01435
319	198	0.0002248	117797	0.1337	408	0.01438
5672	198	0.0002248	117995	0.1339	409	0.01442
16193	198	0.0002248	118193	0.1342	410	0.01445
13077	198	0.0002248	118391	0.1344	411	0.01449
22989	198	0.0002248	118589	0.1346	412	0.01452
27593	198	0.0002248	118787	0.1348	413	0.01456
10728	198	0.0002248	118985	0.1351	414	0.01459
15145	198	0.0002248	119183	0.1353	415	0.01463
14471	197	0.0002236	119380	0.1355	416	0.01467
14577	197	0.0002236	119577	0.1357	417	0.0147
3066	197	0.0002236	119774	0.136	418	0.01474
14633	196	0.0002225	119970	0.1362	419	0.01477
29994	196	0.0002225	120166	0.1364	420	0.01481
21585	196	0.0002225	120362	0.1366	421	0.01484
5472	196	0.0002225	120558	0.1369	422	0.01488
11138	196	0.0002225	120754	0.1371	423	0.01491
18858	196	0.0002225	120950	0.1373	424	0.01495
19730	196	0.0002225	121146	0.1375	425	0.01498
6758	195	0.0002214	121341	0.1377	426	0.01502
21812	195	0.0002214	121536	0.138	427	0.01505
19229	195	0.0002214	121731	0.1382	428	0.01509
27851	195	0.0002214	121926	0.1384	429	0.01512
603	195	0.0002214	122121	0.1386	430	0.01516
5880	195	0.0002214	122316	0.1388	431	0.01519
21975	195	0.0002214	122511	0.1391	432	0.01523
12039	195	0.0002214	122706	0.1393	433	0.01526
20068	194	0.0002202	122900	0.1395	434	0.0153
1840	194	0.0002202	123094	0.1397	435	0.01534
6073	194	0.0002202	123288	0.14	436	0.01537
17846	194	0.0002202	123482	0.1402	437	0.01541
16727	194	0.0002202	123676	0.1404	438	0.01544
7260	194	0.0002202	123870	0.1406	439	0.01548
15925	193	0.0002191	124063	0.1408	440	0.01551
12585	193	0.0002191	124256	0.1411	441	0.01555
26812	193	0.0002191	124449	0.1413	442	0.01558
1145	193	0.0002191	124642	0.1415	443	0.01562
2806	193	0.0002191	124835	0.1417	444	0.01565
27720	193	0.0002191	125028	0.1419	445	0.01569
20184	193	0.0002191	125221	0.1421	446	0.01572
19783	192	0.000218	125413	0.1424	447	0.01576
10950	191	0.0002168	125604	0.1426	448	0.01579
29210	191	0.0002168	125795	0.1428	449	0.01583
18626	191	0.0002168	125986	0.143	450	0.01586
27514	191	0.0002168	126177	0.1432	451	0.0159
8065	191	0.0002168	126368	0.1434	452	0.01593
21468	191	0.0002168	126559	0.1437	453	0.01597
25856	191	0.0002168	126750	0.1439	454	0.01601
13737	190	0.0002157	126940	0.1441	455	0.01604
25877	190	0.0002157	127130	0.1443	456	0.01608
8657	190	0.0002157	127320	0.1445	457	0.01611
3127	190	0.0002157	127510	0.1447	458	0.01615
19870	190	0.0002157	127700	0.145	459	0.01618
2858	190	0.0002157	127890	0.1452	460	0.01622
22223	190	0.0002157	128080	0.1454	461	0.01625
17148	190	0.0002157	128270	0.1456	462	0.01629
20103	190	0.0002157	128460	0.1458	463	0.01632
8374	190	0.0002157	128650	0.146	464	0.01636
24534	190	0.0002157	128840	0.1463	465	0.01639
24521	189	0.0002145	129029	0.1465	466	0.01643
20805	189	0.0002145	129218	0.1467	467	0.01646
20331	189	0.0002145	129407	0.1469	468	0.0165
26762	189	0.0002145	129596	0.1471	469	0.01653
26786	189	0.0002145	129785	0.1473	470	0.01657
19913	189	0.0002145	129974	0.1475	471	0.0166
28621	189	0.0002145	130163	0.1478	472	0.01664
